10
100
1
1 1 462
1 2 802
1 3 75
1 4 61
1 5 26
1 6 88
1 7 389
1 8 891
1 9 975
1 10 707
2 1 889
2 2 765
2 3 759
2 4 465
2 5 469
2 6 521
2 7 766
2 8 140
2 9 376
2 10 800
3 1 393
3 2 119
3 3 705
3 4 236
3 5 77
3 6 976
3 7 563
3 8 298
3 9 622
3 10 42
4 1 920
4 2 737
4 3 844
4 4 600
4 5 251
4 6 735
4 7 786
4 8 794
4 9 589
4 10 620
5 1 769
5 2 976
5 3 833
5 4 19
5 5 610
5 6 413
5 7 976
5 8 9
5 9 396
5 10 772
6 1 656
6 2 928
6 3 828
6 4 929
6 5 708
6 6 900
6 7 476
6 8 846
6 9 792
6 10 564
7 1 436
7 2 102
7 3 808
7 4 646
7 5 77
7 6 425
7 7 255
7 8 779
7 9 162
7 10 900
8 1 620
8 2 440
8 3 394
8 4 498
8 5 184
8 6 622
8 7 284
8 8 459
8 9 820
8 10 921
9 1 91
9 2 770
9 3 84
9 4 901
9 5 477
9 6 596
9 7 79
9 8 368
9 9 395
9 10 339
10 1 920
10 2 925
10 3 78
10 4 538
10 5 602
10 6 557
10 7 339
10 8 968
10 9 566
10 10 397
