10
90
1
1 2 221
1 3 456
1 4 244
1 5 872
1 6 797
1 7 427
1 8 773
1 9 245
1 10 339
2 1 996
2 3 641
2 4 11
2 5 21
2 6 176
2 7 1009
2 8 191
2 9 662
2 10 16
3 1 451
3 2 79
3 4 447
3 5 115
3 6 855
3 7 591
3 8 417
3 9 446
3 10 751
4 1 874
4 2 130
4 3 569
4 5 476
4 6 703
4 7 173
4 8 814
4 9 824
4 10 659
5 1 817
5 2 615
5 3 498
5 4 198
5 6 982
5 7 458
5 8 631
5 9 945
5 10 789
6 1 20
6 2 628
6 3 1024
6 4 749
6 5 438
6 7 222
6 8 783
6 9 371
6 10 20
7 1 332
7 2 414
7 3 695
7 4 997
7 5 366
7 6 605
7 8 467
7 9 979
7 10 927
8 1 906
8 2 499
8 3 536
8 4 438
8 5 96
8 6 391
8 7 333
8 9 876
8 10 560
9 1 59
9 2 858
9 3 225
9 4 788
9 5 462
9 6 137
9 7 485
9 8 294
9 10 843
10 1 615
10 2 653
10 3 215
10 4 65
10 5 398
10 6 555
10 7 552
10 8 862
10 9 17
